user_id,n_puzzles,game_type,first_date,last_date,start_rating,end_rating,delta_rating,rating_level,delta_percentile,quartile_min,quartile_max,unique_eco,ply_theoretical_avg,opening_gap_avg,opening_gap_above_7_ply_avg,inaccuracy_avg,mistake_avg,blunder_avg,acpl_avg,accuracy_avg,diff_opponent_avg,avg_time_opening,avg_time_middle,avg_time_end,wins_from_disadvantage_150,wins_from_disadvantage_150_outoftime,wins_from_disadvantage_200,wins_from_disadvantage_200_outoftime,draws_from_disadvantage_150,moves_after_disadvantage_150,moves_after_disadvantage_200,tot_resigned,tot_matches_disadvantage_150,tot_matches_disadvantage_200,tot_analysed_matches,tot_matches
mosadnaem,106.0,blitz,2023-03-20,2025-08-10,2142,2222,80,advanced,75-100,41.0,689.0,57,6.105263157894737,2.18796992481203,5.973684210526316,2.9022556390977443,1.2481203007518795,2.1654135338345863,45.99248120300752,82.33834586466165,-53.63157894736842,2.126841887435872,6.694041164762841,2.774803001095772,32,6,29,6,11,24.673076923076923,23.07070707070707,46,104,99,133,7499
saidelmasry11,182.0,blitz,2023-04-13,2025-07-20,1845,1966,121,advanced,75-100,41.0,689.0,12,5.1875,1.5,3.0,3.1875,1.5625,1.8125,44.875,82.625,-0.75,0.4643201871657754,4.668777990284569,6.507527549550204,7,0,6,0,1,22.214285714285715,17.076923076923077,4,14,13,16,7073
agresivo,54.0,blitz,2023-01-01,2025-08-15,1839,1701,-138,advanced,0-25,-1142.0,-78.0,89,6.823529411764706,2.051470588235294,3.863013698630137,2.7769607843137254,1.2794117647058822,1.9166666666666667,50.958333333333336,79.38725490196079,0.3872549019607843,1.70861536926405,7.381371180540852,5.2308762275809535,53,16,39,13,14,13.802721088435376,12.431226765799256,75,294,269,408,7405
henrimatheus22,1.0,blitz,2023-01-01,2025-08-15,1815,1791,-24,advanced,25-50,-78.0,-17.0,58,4.339378238341969,0.7772020725388601,4.0,2.792746113989637,1.2590673575129534,1.8704663212435235,57.20725388601036,76.63730569948187,5.16580310880829,2.2979839175978616,7.066777061891936,5.590005166337385,44,8,39,7,3,12.925,11.553435114503817,145,280,262,386,18224
Marvsg,1.0,blitz,2023-01-29,2025-03-06,2066,2082,16,advanced,50-75,-17.0,41.0,7,5.142857142857143,1.0,3.5,2.857142857142857,1.8571428571428568,0.8571428571428571,34.0,87.28571428571429,191.7142857142857,1.8472842712842716,7.153791038499113,6.5919,4,1,3,1,0,9.75,7.666666666666667,0,4,3,7,12079
Aiskandar,8652.0,blitz,2023-01-03,2025-08-14,2011,1932,-79,advanced,0-25,-1142.0,-78.0,16,5.774193548387097,1.7741935483870968,4.666666666666667,3.3548387096774195,1.4193548387096775,1.935483870967742,52.903225806451616,80.35483870967742,63.64516129032258,2.381396285771997,5.667300108682111,3.595134413114592,5,1,5,1,0,14.76,13.16,15,25,25,31,4204
phector486,58627.0,blitz,2023-01-01,2025-08-15,1935,1965,30,advanced,50-75,-17.0,41.0,78,3.754750593824228,0.7862232779097387,6.666666666666667,3.138872403560831,1.3786350148367952,2.1857566765578635,56.91454005934718,78.40178041543027,55.81958456973294,1.9373161770837857,4.42619465079957,2.936661595753774,177,73,155,66,21,17.41474245115453,16.014911463187325,324,1126,1073,1685,25444
NikolayIvanchikov,,blitz,2023-01-01,2025-08-15,1882,1676,-206,advanced,0-25,-1142.0,-78.0,123,6.640567200986436,1.3753086419753089,2.528497409326425,2.567200986436498,1.0832305795314427,1.621454993834772,43.47718865598027,83.17940813810111,-4.287299630086313,4.206254138740103,10.122167403830948,3.5124643404417224,433,90,329,77,15,19.72781774580336,17.335227272727273,37,834,704,1622,13747
ijqp,138.0,blitz,2023-06-29,2025-04-25,1907,2026,119,advanced,75-100,41.0,689.0,7,6.0,4.714285714285714,9.0,3.571428571428572,2.4285714285714284,1.7142857142857142,55.285714285714285,78.57142857142857,23.285714285714285,2.3692743764172337,6.081510583720667,2.789451058201058,5,1,5,1,0,16.857142857142858,16.0,0,7,7,7,30000
vfromnn1909,212.0,blitz,2023-01-17,2025-08-15,2167,2105,-62,advanced,25-50,-78.0,-17.0,16,7.090909090909091,0.6363636363636364,1.0769230769230769,1.8636363636363635,1.0454545454545454,1.3636363636363635,42.72727272727273,82.13636363636364,50.54545454545455,1.1244941926760108,5.24500604686319,2.709164311179017,3,1,3,1,0,14.466666666666669,13.428571428571429,9,15,14,22,3295
