user,year,frequency,fast_quality,CI,ultra_bullet_blitz_games_year,max_ultra_bullet_blitz_games_year,ultrabullet,bullet,blitz,rapid,total,user_id,rating_level,start_rating_year,end_rating_year,delta_elo_year,active_months_year
Devrar,2023,0.0004,0.45,0.2252,4,10148,0,2,2,0,4,Devrar,Intermedio,1542,1687,145,3
Devrar,2024,0.0139,0.5191,0.2665,141,10148,0,103,38,0,141,Devrar,Intermedio,1687,1877,190,5
Devrar,2025,0.0965,0.592,0.3443,979,10148,0,953,26,0,979,Devrar,Avanzato,1913,1910,-3,3
exscelsior,2023,0.7094,0.4108,0.5601,7199,10148,29,2632,4538,30,7229,exscelsior,Intermedio,1750,1755,5,5
exscelsior,2024,0.5818,0.4373,0.5096,5904,10148,0,2710,3194,5,5909,exscelsior,Intermedio,1755,1765,10,5
exscelsior,2025,0.5266,0.4496,0.4881,5344,10148,0,2683,2661,12,5356,exscelsior,Intermedio,1765,1800,35,3
Ste062,2024,0.1085,0.3119,0.2102,1101,10148,0,205,896,155,1256,Ste062,Beginner,1147,1525,378,10
Ste062,2025,0.1453,0.3805,0.2629,1474,10148,0,421,1053,20,1494,Ste062,Intermedio,1525,1507,-18,6
CharlieBro,2023,0.0914,0.612,0.3517,928,10148,75,790,63,0,928,CharlieBro,Avanzato,2154,2139,-15,4
CharlieBro,2024,0.1811,0.5874,0.3843,1838,10148,0,1761,77,0,1838,CharlieBro,Avanzato,2139,2124,-15,1
CharlieBro,2025,0.1667,0.556,0.3614,1692,10148,0,1444,248,0,1692,CharlieBro,Avanzato,2124,2140,16,1
Fpier21,2023,0.1858,0.3748,0.2803,1886,10148,0,470,1416,0,1886,Fpier21,Intermedio,1842,1874,32,6
Fpier21,2024,0.0571,0.3,0.1785,579,10148,0,0,579,0,579,Fpier21,Avanzato,1907,1907,0,4
Fpier21,2025,0.0529,0.3011,0.177,537,10148,0,2,535,0,537,Fpier21,Avanzato,1920,1990,70,4
Passthefence,2023,0.0014,0.2333,0.1174,14,10148,0,0,14,4,18,Passthefence,Intermedio,1664,1700,36,1
Passthefence,2024,0.0175,0.3067,0.1621,178,10148,0,4,174,0,178,Passthefence,Intermedio,1700,1783,83,1
